term,rank
image,1.7378335359383899
trans,1.3096822094568756
image processing,1.1712171500684212
processing,1.1712171500684212
computation,1.0838898479572405
field,1.045265666767484
sparse,1.0164136575670444
trans image,1.0010040368073219
application,1.0004502264922424
neural,0.9870510892424791
network,0.9496522827192285
mathematics,0.8559603516554193
social,0.8515087663048002
model,0.8409568646839933
matrix,0.804998656945684
via,0.7994191914692625
information,0.7326602605136608
mean field,0.7213557480628805
mean,0.7213557480628805
textdollar,0.6704347241677192
dynamic,0.6444831052830039
learning,0.6412704230784818
approximate inverse,0.623832990163667
approximate,0.623832990163667
inverse,0.623832990163667
computer,0.6185796047312004
theory,0.6162751368786694
preconditioning,0.6157640448756195
strategy,0.5905719385007555
mathematics computation,0.5859309783238666
applied mathematics,0.5859309783238666
applied,0.5859309783238666
markov,0.5729182165303723
neural computation,0.5132758579013776
system,0.5061550274030329
sparse signal,0.4924561608810222
recovery,0.4924561608810222
signal,0.4924561608810222
recovery sparse,0.4924561608810222
signal via,0.4924561608810222
minimization,0.4924561608810222
resolution,0.4798251951124888
multi,0.4740677925065882
multiple,0.46491856139331067
sparse approximate,0.45745286978757344
technique,0.45398639389939466
selectionism,0.4484088066780745
bayesianism part,0.4484088066780745
network adaptive,0.4484088066780745
adaptive,0.4484088066780745
adaptive learning,0.4484088066780745
part,0.4484088066780745
neural network,0.4484088066780745
bayesianism,0.4484088066780745
via selectionism,0.4484088066780745
selectionism bayesianism,0.4484088066780745
learning via,0.4484088066780745
two,0.4430669782320106
mathematics application,0.43519053893896553
computer mathematics,0.43519053893896553
processing application,0.4321177527304847
field theory,0.4311253353597159
indefinite matrix,0.42637524902647006
indefinite,0.42637524902647006
stabilization,0.42290877313829134
procedure,0.4168715631906927
corr,0.4000438260341874
random field,0.38122113955503445
random,0.38122113955503445
markov random,0.38122113955503445
compressed,0.3615048175468121
sensing,0.3615048175468121
compressed sensing,0.3615048175468121
fostering,0.31873696744578744
search,0.31873696744578744
fostering social,0.31873696744578744
information search,0.31873696744578744
swim fostering,0.31873696744578744
swim,0.31873696744578744
social network,0.31873696744578744
network information,0.31873696744578744
separation,0.3115297919292946
figure,0.3115297919292946
figure ground,0.3115297919292946
separation neural,0.3115297919292946
dynamical system,0.3115297919292946
dynamical,0.3115297919292946
neural dynamical,0.3115297919292946
ground separation,0.3115297919292946
ground,0.3115297919292946
enhancement hyperacuity,0.3104697968255547
hyperacuity sensory,0.3104697968255547
representation,0.3104697968255547
model resolution,0.3104697968255547
sensory representation,0.3104697968255547
sensory,0.3104697968255547
hyperacuity,0.3104697968255547
resolution enhancement,0.3104697968255547
enhancement,0.3104697968255547
retrieval,0.3074928350232367
retrieval sparsified,0.3074928350232367
text,0.3074928350232367
text retrieval,0.3074928350232367
concept decomposition,0.3074928350232367
decomposition matrix,0.3074928350232367
sparsified concept,0.3074928350232367
concept,0.3074928350232367
decomposition,0.3074928350232367
sparsified,0.3074928350232367
connecting,0.3061567284378734
geometric,0.3061567284378734
connecting information,0.3061567284378734
entropy connecting,0.3061567284378734
entropy,0.3061567284378734
mechanic,0.3061567284378734
information geometry,0.3061567284378734
geometry geometric,0.3061567284378734
geometry,0.3061567284378734
geometric mechanic,0.3061567284378734
analysis,0.2922558782860937
divergence,0.2922558782860937
divergence function,0.2922558782860937
function,0.2922558782860937
duality,0.2922558782860937
function duality,0.2922558782860937
duality convex,0.2922558782860937
convex analysis,0.2922558782860937
computation divergence,0.2922558782860937
convex,0.2922558782860937
singularity,0.28226832145776143
learning near,0.28226832145776143
near,0.28226832145776143
dynamic learning,0.28226832145776143
singularity layered,0.28226832145776143
layered network,0.28226832145776143
computation dynamic,0.28226832145776143
layered,0.28226832145776143
near singularity,0.28226832145776143
via mathscrl,0.280171699579289
mbox1,0.280171699579289
mbox1 minimization,0.280171699579289
corr recovery,0.280171699579289
mathscrl,0.280171699579289
mathscrl mbox1,0.280171699579289
