term,rank
optimization,17.07877080333153
network,14.746367143393437
trans,13.686147919758579
system,10.331698117355037
wireless,9.317383712146693
corr,8.756395150964575
swarm,8.516639619283511
communication,8.175441385110968
learning,8.120382262481124
particle,8.039315467728933
particle swarm,8.039315467728933
image,8.004513036751801
data,7.91767367474653
swarm optimization,7.805210879322971
colony,7.366535783535556
ant,7.313734019391268
computation,7.218304370036519
ant colony,7.057696922021158
adaptive,6.861420848558061
evolution,6.654467659276161
evolutionary,6.45153531379482
model,6.14661088883824
parallel,6.093643693363696
energy,5.9395328647554155
differential,5.890901734331159
differential evolution,5.778728499358742
multi,5.6911212063427
scheduling,5.660902084466992
genetic,5.3371494024272375
analysis,5.288855078141133
processing,5.2396332935915
traffic,5.1566607781133476
cybernetics,5.075636835149114
information,5.0690163454005175
clustering,4.93836099101348
sparse,4.797087437249482
colony optimization,4.739415666020946
mimo,4.719699551147351
computing,4.422357009327745
large,4.3634341611590575
aware,4.311165280452041
power,4.282339262953386
dynamic,4.245921504879327
strategy,4.1843888260562405
control,4.127316473971515
trans cybernetics,4.092063259415787
cloud,4.011607335812066
multiple,3.9763908996702044
technique,3.9445737536972554
mobile,3.935144299707645
evolutionary computation,3.9221469926947785
user,3.9134780447341395
wireless network,3.854376624414766
detection,3.7765257516545394
time,3.766152497948338
sensor,3.73556938860396
hybrid,3.720342417590335
matrix,3.652879944593954
sensor network,3.63806689520516
performance,3.6187424758723274
comput,3.60194128666359
beamforming,3.5347936526614925
harvesting,3.4931879693812693
energy harvesting,3.4931879693812693
novel,3.4874666264813534
design,3.473760981179657
trans wireless,3.4350602681213878
wireless communication,3.4350602681213878
signal,3.3848004879361775
large scale,3.3105769744452243
scale,3.3105769744452243
spatial,3.3006206432525818
social,3.287900663671612
selection,3.2477979605966993
trans evolutionary,3.2415147602891046
channel,3.238937694270567
edge,3.216620920799673
csi,3.205423360515438
wireless sensor,3.182695267149479
distributed,3.169368391183138
mathematics,3.145146905156961
classification,3.1116086660115365
estimation,3.0959016696239305
colony system,3.082520608544647
multiobjective,3.0590347362570034
interference,3.0376311276395507
set,2.9754988817667467
network traffic,2.9510781390362135
stochastic,2.9443510386711953
robust,2.9437226117119852
electronic,2.9213302720772183
mobile edge,2.876761407843999
edge computing,2.876761407843999
syst,2.8509413984801237
efficient,2.814853850461696
application,2.80259795913709
management,2.7962639717804474
cooperative,2.793390720034175
optimal,2.776871851803902
distribution,2.769128195951902
